                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8181,                 2.5857,                  1.104,                0.69312,                0.65054,                0.69239,                 0.6441,                0.38991,                0.96489,                 0.9215,             0.00012315,             0.00012315,             0.00012315
                      2,                0.75672,                 1.3835,                 1.0695,                0.79112,                 0.7664,                0.84664,                0.79121,                0.36322,                0.65118,                0.88675,             0.00021162,             0.00021162,             0.00021162
                      3,                0.72788,                 1.1462,                 1.0454,                0.87359,                0.78767,                0.89446,                0.84717,                0.34982,                0.60585,                0.87368,             0.00026521,             0.00026521,             0.00026521
                      4,                0.71214,                 1.0233,                 1.0367,                0.89124,                0.84395,                  0.931,                 0.8889,                0.31738,                0.50815,                0.85696,             0.00021301,             0.00021301,             0.00021301
                      5,                0.68926,                  0.913,                 1.0246,                0.93607,                0.89354,                0.94558,                0.90463,                0.30763,                0.44559,                0.85363,             0.00016069,             0.00016069,             0.00016069
                      6,                0.66794,                0.84976,                 1.0095,                 0.9191,                0.89581,                0.95196,                0.92403,                0.28135,                0.40697,                0.84286,             0.00010836,             0.00010836,             0.00010836
                      7,                0.65696,                0.79071,                 1.0043,                0.94666,                0.87894,                0.95059,                0.92128,                0.27506,                 0.4134,                0.83946,             5.6029e-05,             5.6029e-05,             5.6029e-05
